24 HOUR VOLUME COUNT LOCATIONS,NB TOTAL,SB TOTAL,EB TOTAL, WB TOTOAL,TOTAL VOLUME,DATE
"Casitas Dr, 10900 blk - North of Avery Ranch Blvd",107,184,,,291,4/19/2010 0:00
"Casitas Dr, 10900 blk - North of Avery Ranch Blvd",113,310,,,423,9/19/2006 0:00
"Cassady Dr, 3700 Blk - West of Amherst Dr",,,1393,1352,2745,3/31/2004 0:00
"Caswell Ave, 4800 blk - North of East 48th St",261,313,,,574,10/1/2013 0:00
"Caswell Ave, 4800 blk - North of East 48th St",261,313,,,574,10/1/2013 0:00
"Caswell Ave, 4800 blk - South of E. 49th St",190,273,,,463,5/22/2003 0:00
"Caswell Ave, 4900 blk - North of E. 49th St",321,391,,,712,5/22/2003 0:00
"Caswell Ave, 4900 blk - North of E. 49th St",289,355,,,644,1/16/2001 0:00
"Catalina Dr, 3300 blk - South of Granada Dr",329,348,,,677,11/5/2008 0:00
"Cedar Ave, 1400 blk - South of East 16th St",451,501,,,952,2/26/2013 0:00
"Cedar Ave, 1400 blk - South of East 16th St",,,451,501,952,2/26/2013 0:00
"Cedar Avenue, 1700 blk - South of MLK Blvd",462,500,,,962,4/2/2007 0:00
"Cedar Bend Dr, 2200 blk - East of Tyson Cove",,,2387,2100,4487,7/10/2008 0:00
"Cedar Bend Dr, 2300 blk - East of Renfert Ln",,,2518,2222,4740,10/26/2010 0:00
"Cedar Bend Dr, 2400 blk - West of Renfert Ln",,,4115,2801,6916,10/26/2010 0:00
"Cedar Cliffe Dr, 11500 blk - East of Citrus Cove",,,96,115,211,1/6/2003 0:00
"Cedar Crest Dr, 9100 blk - West of Balcones Club Dr",,,1674,2640,4314,11/24/2003 0:00
"Cedar Crest Dr, 9100 blk - West of Balcones Club Dr",,,1661,2696,4357,12/18/2002 0:00
"Cedar Crest Dr, 9300 blk - East of 14th Tee",,,975,1335,2310,9/13/2010 0:00
"Cedar Crest Dr, 9400 blk - East of Balcones Way",,,1135,3071,4206,12/18/2002 0:00
"Cedar Crest Dr, 9400 blk - South of Balcones Way",1532,2041,,,3573,4/15/2014 0:00
"Cedar Crest, 9300 blk - East of 14th Tee",,,973,1330,2303,9/10/2012 0:00
"Cedar Forrest Dr, 9400 blk - North of Spring Hollow Dr",39,52,,,91,12/19/2002 0:00
"Cedar St, 6400 blk - East of Bunny Run",,,767,617,1384,10/21/2002 0:00
"Cedro Trail, 5200 blk, East of Sprucewood Dr",,,430,385,815,2/23/2011 0:00
"Center Ridge Dr, 600 blk - East of Centerline Pass",,,3846,2327,6173,10/28/2010 0:00
"Century Park Blvd, 2600 blk - West of Shawna Dnay",,,645,523,1168,1/14/2008 0:00
"Century Park Blvd, 2800 blk - West of Elm Ridge Ln",,,1389,1328,2717,1/14/2008 0:00
"Century Park Blvd, 3200 blk - West of Elm Ridge Ln",,,1481,1417,2898,10/15/2009 0:00
"Cesar Chavez St East, 1000 blk - West of Medina St",,,9115,7912,17027,2/24/2010 0:00
"Cesar Chavez St East, 1100 blk - East of Medina St",,,6971,7057,14028,2/19/2009 0:00
"Cesar Chavez St East, 1300 blk - West of Navasota St",,,8459,7381,15840,6/15/2005 0:00
"Cesar Chavez St East, 2100 blk - East of Caney St",,,6819,5767,12586,2/19/2009 0:00
"Cesar Chavez St East, 2200 blk - West of Mildred St",,,7480,6050,13530,6/15/2005 0:00
"Cesar Chavez St East, 2500 blk - @ Pedernales St",,,7792,7043,14835,3/25/2015 0:00
"Cesar Chavez St East, 2500 blk - East of Pedernales St",,,6947,4822,11769,1/9/2002 0:00
"Cesar Chavez St East, 2900 blk - West of Tillery St",,,9382,8085,17467,5/22/2006 0:00
"Cesar Chavez St East, 300 blk - West of Trinity St",,,15711,5922,21633,7/6/2005 0:00
"Cesar Chavez St East, 300 blk - West of Trinity St",,,16154,6175,22329,6/15/2005 0:00
"Cesar Chavez St East, 3200 blk - East of Tillery St",,,8223,7235,15458,5/22/2006 0:00
"Cesar Chavez St East, 4700 blk - East of Springdale Rd",,,6145,5236,11381,5/22/2006 0:00
"Cesar Chavez St East, 600 blk - East of Red River St",,,15161,13151,28312,1/25/2011 0:00
"Cesar Chavez St East, 600 blk - East of Red River St",,,13762,9654,23416,3/11/2009 0:00
"Cesar Chavez St W, 100 blk, West of Congress Ave",,,17127,9712,26839,7/19/2011 0:00
"Cesar Chavez St W, 700 blk, West of San Antonio St",,,16411,16606,33017,10/6/2011 0:00
"Cesar Chavez St W, 700 blk, West of San Antonio St",,,18452,15204,33656,7/25/2011 0:00
"Cesar Chavez St West, 1100 blk - West of B.R. Reynolds Dr",,,22583,18437,41020,7/27/2005 0:00
"Cesar Chavez St West, 1300 blk - West of B. R. Reynolds Dr",,,21795,19950,41745,3/25/2009 0:00
"Cesar Chavez St West, 700 blk - West of San Antonio St",,,16606,16411,33017,10/5/2011 0:00
"Cesar Chavez St West, 700 blk - West of San Antonio St",,,20042,10471,30513,7/27/2005 0:00
"Chalmers Ave, 300 blk - North of East 3rd St",280,171,,,451,9/30/2013 0:00
"Chalmers Ave, 300 blk - North of East 3rd St",280,171,,,451,9/30/2013 0:00
"Charlwood Dr, 3000 blk - East of Franwood Ln",,,87,71,158,3/9/2010 0:00
"Charlwood Dr, 3100 blk - East of Dalewood Dr",,,69,70,139,3/9/2010 0:00
"Charolais Dr, 1500 blk - West of Swearingin Dr",,,70,83,153,3/17/2003 0:00
"Chasewood Dr, 1600 blk - West of Bosswood Dr",,,707,699,1406,5/3/2001 0:00
"Chasewood Dr, 1800 blk - South of Will Rogers Ln",473,493,,,966,10/27/2009 0:00
"Chasewood Dr, 1800 blk - South of Will Rogers Ln",672,713,,,1385,1/16/2008 0:00
"Chateau Hill, 11000 blk - South of Topridge Dr",98,99,,,197,12/10/2002 0:00
"Cherry Ln, 2900 blk - East of Mountain View",,,153,149,302,6/23/2008 0:00
"Cherrywood Rd, 3100 blk - South of E. 32nd St",1838,2123,,,3961,9/29/2003 0:00
"Cherrywood Rd, 3300 blk, South of East 34th St",1191,1507,,,2698,8/23/2011 0:00
"Cherrywood Rd, 3400 blk - North of E. 34th St",2146,2452,,,4598,9/29/2003 0:00
"Cherrywood Rd, 3400 blk - North of E. 34th St",2032,2589,,,4621,9/25/2002 0:00
"Cherrywood Rd, 3700 blk - South of E. 38th St",876,877,,,1753,2/17/2010 0:00
"Cherrywood Rd, 3900 blk - North of E. 38th 1/2 St",593,710,,,1303,3/30/2004 0:00
"Chesapeake Dr, 1100 blk - East of Bradford Dr",,,69,75,144,5/18/2010 0:00
"Chester Ln, 10100 blk - West of Tree Bend Dr",,,55,63,118,5/24/2004 0:00
"Chesterfield Ave, 5400 blk - West of W.  55th St",,,510,703,1213,6/4/2001 0:00
"Chesterfield Ave, 5700 blk - North of Avenue C",230,144,,,374,3/10/2010 0:00
"Chesterfield Ave, 6300 blk - North of Hammack Dr",179,232,,,411,3/23/2010 0:00
"Chestnut Ave, 1000 blk - South of Pennsylvania Ave",607,696,,,1303,9/23/2013 0:00
"Chestnut Ave, 1000 blk - South of Pennsylvania Ave",607,696,,,1303,9/23/2013 0:00
"Chestnut Ave, 1700 blk - North of E. 17th St",2562,3262,,,5824,2/21/2007 0:00
"Chestnut Ave, 2100 blk - North of E. 21st St",1757,2411,,,4168,10/1/2008 0:00
"Chestnut Ridge Rd, 10500 blk - North of Montevilla Dr",300,207,,,507,9/26/2012 0:00
"Chevy Chase Dr, 7700 blk - South of US183",1175,923,,,2098,5/5/2003 0:00
"Chicon St, 1700 blk - North of E. 17th St",2421,2476,,,4897,6/23/2003 0:00
"Chicon St, 2100 blk - North of E. 21st St",1323,1454,,,2777,10/1/2008 0:00
"Chimney Corners, 7200 blk - North of Lamplight Ln",812,723,,,1535,10/17/2013 0:00
"Chukar Circle, 9800 blk - North of Springer Ln",219,245,,,464,12/17/2007 0:00
"Cima Serena, 3800 blk - West of Tallwood Dr",,,1030,981,2011,9/6/2005 0:00
"Cima Serena, 3900 blk - East of Tallwood Dr",,,1105,1084,2189,9/6/2005 0:00
"Cimarron Trail, 2100 blk - West of Cactus Ln",,,359,235,594,9/18/2013 0:00
"Cimmaron Trail, 2100 blk - West of Cactus Ln",,,359,235,594,9/18/2013 0:00
"Cindy Ln, 2200 blk - West of Limmerick Ave",,,201,140,341,1/16/2008 0:00
Cinnamon Path 1700 blk - North of Waterloo Trail,516,576,,,1092,6/11/2001 0:00
"Circle S Rd, 6400 blk - East of South Congress Ave",999,853,,,1852,10/10/2002 0:00
"Circle S Rd, 6500 blk - North of E. Wm Cannon Dr",1069,873,,,1942,10/10/2002 0:00
"Claire Ave, 1000 blk - West of Shoal Creek",,,315,339,654,3/9/2009 0:00
"Claire Ave, 1200 blk - East of Wooldridge Dr",,,430,249,679,11/27/2007 0:00
"Claire Ave, 1200 blk - East of Wooldridge Dr",,,276,329,605,2/8/2005 0:00
"Claire Ave, 1200 blk - South of Wooldridge Dr",325,221,,,546,2/28/2013 0:00
"Claire Ave, 1200 blk - South of Wooldridge Dr",325,221,,,546,2/28/2013 0:00
"Clarkson Ave, 3400 blk - East of Cherrywood Rd",,,277,229,506,4/29/2004 0:00
"Clarkson Ave, 3500 blk - South of E. 38th 1/2 St",1067,1949,,,3016,4/29/2004 0:00
"Clarkson Ave, 5100 blk - South of Caswell Ave",515,193,,,708,9/26/2011 0:00
"Clarkson Ave, 5100 blk, South of Caswell Ave",622,248,,,870,11/11/2011 0:00
"Clarkson Ave, 5100 blk, South of Caswell Ave",530,210,,,740,2/10/2011 0:00
"Clawson Rd, 1700 blk - North of Philco",534,531,,,1065,10/22/2013 0:00
"Clawson Rd, 3400 blk - North of Southridge Dr",1114,1118,,,2232,10/8/2002 0:00
"Clawson Rd, 3800 blk - North of Grayford Dr",1242,1294,,,2536,1/22/2003 0:00
"Clawson Rd, 3800 blk - South of Riverridge Dr",1300,1407,,,2707,9/18/2013 0:00
"Clawson Rd, 3800 blk - South of Sothrodge Dr",1300,1407,,,2707,9/18/2013 0:00
"Clawson Rd, 4600 blk - North of Parkdale Pl",304,348,,,652,2/12/2008 0:00
"Clawson Rd, 4600 blk - South of Philco Dr",268,318,,,586,9/18/2013 0:00
"Clay Ave, 5600 blk - South of Ullrich Ave",224,180,,,404,4/17/2013 0:00
"Clay Ave, 5600 blk - South of Ullrich Ave",224,180,,,404,4/17/2013 0:00
"Clearfield Dr, 1200 blk - West of Parkfield Dr",,,284,296,580,5/18/2010 0:00
"Clearfield Dr, 1300 blk - West of Parkfield Dr",,,228,249,477,8/20/2008 0:00
"Clearock Dr, 9200 blk - West of Balcones Club Dr",,,535,431,966,12/18/2002 0:00
"Clearock Dr, 9300 blk -  West of Balcones Dr",,,375,455,830,10/7/2013 0:00
"Clearock Dr, 9300 blk - West of Balcones Club Dr",,,375,455,830,10/7/2013 0:00
"Clearview Dr, 2800 blk - East of Meadowbrook Dr",,,230,205,435,6/23/2008 0:00
"Clifford Ave, 1600 blk - North of East 16th St",303,335,,,638,9/23/2013 0:00
"Clifford Ave, 1600 blk - North of East 16th St",303,335,,,638,9/23/2013 0:00
"Cloudview Dr, 200 blk - East of Moonmont Dr",,,305,296,601,9/19/2007 0:00
"Cloudview Dr, 200 blk - East of Moonmont Dr",,,539,556,1095,2/21/2013 0:00
"Cloudview Dr, 200 blk - East of Moonmont Dr",,,539,556,1095,2/21/2013 0:00
"Cloverleaf Dr, 1300 blk - East of Cameron Rd",,,242,238,480,1/29/2003 0:00
"Cloverleaf Dr, 1500 blk - West of Berkman Dr",,,575,584,1159,2/3/2003 0:00
"Clyde Littlefield, 800 blk - East of Red River St",,,2374,2000,4374,3/2/2009 0:00
"Cohoba Dr, 2900 blk - East of Notches Dr",,,214,267,481,11/29/2007 0:00
"Cohoba Dr, 2900 blk - East of West Gate Blvd",,,335,372,707,4/11/2012 0:00
"Cohoba Dr, 2900 blk - West of Notches Dr",,,414,482,896,2/26/2013 0:00
"Cohoba Dr, 2900 blk - West of Notches Dr",,,414,482,896,2/26/2013 0:00
"Cohoba Dr, 3000 blk - West of West Gate Blvd",,,190,207,397,4/11/2012 0:00
"Cohoba Dr, 3100 blk - East of Bradner Dr",,,86,124,210,11/29/2007 0:00
"Colegate Lane, 2200 blk - West of Northeast Dr",,,293,152,445,3/31/2014 0:00
"Colina Ln, 6300 blk - East of Bunting Dr",,,800,838,1638,5/27/2009 0:00
"Collier St, 1400 blk - East of Kinney Ave",,,630,775,1405,4/10/2002 0:00
"Collier St, 1800 blk - East of Bluebonnet Ln",,,268,320,588,4/10/2002 0:00
"Collingwood Dr, 8700 blk - South of Davis Ln",347,288,,,635,4/1/2008 0:00
"Collingwood Dr, 9100 blk - South of Vassal Dr",131,132,,,263,4/1/2008 0:00
"Colonial Dr, 8700 blk - North of Fairfield Dr",614,655,,,1269,5/18/2010 0:00
"Colonial Dr, 8700 blk - North of Fairfield Dr",588,667,,,1255,10/3/2007 0:00
"Colonial Park Blvd, 600 blk - North of Windledge Dr",896,681,,,1577,10/30/2014 0:00
"Colonial Park Blvd, 600 blk - North of Windledge Dr ",892,792,,,1684,3/6/2012 0:00
"Colony Creek Dr, 1700 blk - West of Pointer Lane West",,,1051,674,1725,9/27/2004 0:00
"Colony Creek Drive, 1700 blk - East of Galewood",,,1303,873,2176,9/12/2012 0:00
"Colony North Dr, 1100 blk - East of Staunton Dr",,,155,157,312,5/18/2010 0:00
"Colton Bluff Springs Rd, 6500 blk - East of Running Water Dr",,,742,758,1500,9/18/2013 0:00
"Colton-Bluff Springs Rd, 6400 blk - East of Salt Springs Dr",,,689,668,1357,8/24/2004 0:00
"Colton-Bluff Springs Rd, 6700 blk - West of Alum Rock Dr",,,574,626,1200,1/7/2004 0:00
"Colton-Bluff Springs Rd, 6800 blk - East of Alum Rock Dr",,,1130,1076,2206,1/7/2004 0:00
"Comal St, 20 blk - South of Robert Weaver Ave",291,246,,,537,2/24/2010 0:00
"Comal St, 20 blk - South of Robert Weaver Ave",318,232,,,550,2/19/2009 0:00
"Comburg Castle Way, 2500 blk - East of Oak Ledge Dr",,,137,160,297,11/29/2007 0:00
"Concordia Ave, 1100 blk - East of IH35",,,119,221,340,3/29/2004 0:00
"Congress Ave S., 5900 blk, South of Little Texas Ln",10586,9075,,,19661,1/19/2011 0:00
"Congress Ave S., on the Bridge, North of Barton Springs Rd",13957,14602,,,28559,7/18/2011 0:00
"Congress Ave South, @ Town Lake Bridge",14475,17165,,,31640,7/10/2001 0:00
"Congress Ave South, 1200 blk - South of Academy",12311,9925,,,22236,3/25/2013 0:00
"Congress Ave South, 1200 blk - South of Nellie St / Academy Dr ",15246,17402,,,32648,10/21/2003 0:00
"Congress Ave South, 1300 blk - South of The Circle",13629,11836,,,25465,12/3/2008 0:00
"Congress Ave South, 1400 blk - At Elizabeth St",13327,11554,,,24881,5/16/2007 0:00
"Congress Ave South, 2100 blk - North of W. Live Oak St",13304,13613,,,26917,8/8/2001 0:00
"Congress Ave South, 2200 blk - South of Live Oak St",15861,14420,,,30281,3/3/2009 0:00
"Congress Ave South, 300 blk - North of Riverside Dr",11707,12760,,,24467,1/10/2002 0:00
"Congress Ave South, 3000 blk - South of Havana St",17444,16133,,,33577,6/21/2005 0:00
"Congress Ave South, 3600 blk - At E. Alpine Rd",13507,17035,,,30542,2/5/2008 0:00
"Congress Ave South, 400 blk - South of Riverside Dr",17026,15629,,,32655,12/12/2003 0:00
"Congress Ave South, 4500 blk - North of Sheraton Ave",17215,15059,,,32274,10/1/2003 0:00
"Congress Ave South, 4800 blk - South of Sheraton Ave",16010,13833,,,29843,10/1/2003 0:00
"Congress Ave South, 4900 blk - North of Wesson Rd",14430,12622,,,27052,6/21/2005 0:00
"Congress Ave, 100 blk - South of Cesar Chavez St",18986,16296,,,35282,4/8/2009 0:00
"Congress Ave, 100 blk - South of Cesar Chavez St",18983,17775,,,36758,9/12/2008 0:00
"Congress Ave, 100 blk - South of Cesar Chavez St",16732,15266,,,31998,12/10/2003 0:00
"Contour Dr, 8500 blk - South of Ohlen Rd",892,416,,,1308,11/18/2010 0:00
"Convict Hill Rd, 3900 blk - West of Loch Lommond St",,,2576,2983,5559,4/12/2012 0:00
"Convict Hill Rd, 4000 blk - West of Saffron St",,,3174,3975,7149,7/8/2002 0:00
"Convict Hill Rd, 4300 blk - East of S. Mopac Expwy   (Loop 1)",,,3244,3626,6870,3/23/2005 0:00
"Convict Hill Rd, 4300 blk - East of S. Mopac Expwy   (Loop 1)",,,3131,3953,7084,7/8/2002 0:00
"Convict Hill Rd, 4400 blk - West of Vermillion Dr",,,2554,2940,5494,4/12/2012 0:00
"Convict Hill Rd, 4700 blk - West of S. Mopac Expwy  (Loop 1)",,,2973,3023,5996,4/2/2007 0:00
"Convict Hill Rd, 4700 blk - West of S. Mopac Expwy  (Loop 1)",,,2861,2892,5753,3/23/2005 0:00
"Convict Hill Rd, 4800 blk - West of Brush Country",,,2789,2583,5372,4/12/2012 0:00
"Cooper Ln, 6700 blk - North of W. Wm Cannon Dr",899,1057,,,1956,5/3/2004 0:00
"Copano Dr, 8700 blk - East of Barrow Glen Loop",,,925,895,1820,11/2/2011 0:00
"Copano Dr, 8700 blk - East of Barrow Glen Loop",,,945,901,1846,10/2/2012 0:00
"Copano Dr, 8900 blk - West of Davis Ln",,,932,954,1886,11/2/2011 0:00
"Copperbend Blvd, 5000 blk -South of Franklin Park",455,668,,,1123,10/2/2012 0:00
"Copperfield Dr, 12400 blk - South of Uttimer Ln",423,460,,,883,9/26/2012 0:00
"Corona Dr, 1300 blk - East of Cameron Rd",,,791,577,1368,1/29/2003 0:00
"Corona Dr, 1400 blk - West of Belfast",,,130,108,238,10/7/2013 0:00
"Corona Dr, 1400 blk - West of Belfast Dr",,,130,108,238,10/7/2013 0:00
"Corona Dr, 1500 blk - West of Berkman Dr",,,445,244,689,1/29/2003 0:00
"Coronado Hills Dr, 1700 blk - West of Glenhill Dr",,,1130,666,1796,7/6/2010 0:00
"Corriander Dr, 1500 blk - North of Cilantro Way",211,201,,,412,2/24/2014 0:00
"Cottonwood St, 4600 blk - South of Lurlyne Court",246,244,,,490,2/19/2013 0:00
"Cottonwood St, 4600 blk - South of Lurlyne Court",246,244,,,490,2/19/2013 0:00
"Country Knoll, 11000 blk - South of Topridge Dr",55,49,,,104,12/10/2002 0:00
"Courtyard Dr W, 6800 blk - West of Long Court",,,1139,1451,2590,5/7/2013 0:00
"Courtyard Dr West, 6700 blk - West of Long Court",,,1322,1669,2991,11/17/2014 0:00
"Courtyard Dr West, 6700 blk - West of Long Court",,,1139,1451,2590,5/7/2013 0:00
"Coventry Ln, 5800 blk - North of Lansbury Dr",216,245,,,461,10/7/2013 0:00
"Coventry Ln, 5800 blk - North of Lansbury Dr",216,245,,,461,10/7/2013 0:00
"Coventry Ln, 5800, South of Sweeny Ln",318,352,,,670,3/22/2001 0:00
"Covington Dr East, 700 blk - West of IH 35 WSR",,,366,715,1081,3/2/2010 0:00
"Covington Dr West, 300 blk- East of Hornsby St",,,350,1029,1379,3/2/2010 0:00
"Creek Bend Dr, 4700 blk - West of Softwood Dr",,,495,313,808,2/26/2013 0:00
"Creek Bend Dr, 5000 blk - West of S. Pleasant Valley",,,451,281,732,11/17/2010 0:00
"Creekbend Dr, 4700 blk - West of Softwood Dr",,,495,313,808,2/26/2013 0:00
"Creekside Dr, 7200 blk - South of Coronado Hills Dr",248,772,,,1020,7/6/2010 0:00
"Crestland Dr West, 400 blk - West of Northcrest Blvd",,,431,356,787,12/10/2003 0:00
"Crestland Dr West, 600 blk - West of Guadalupe St",,,402,179,581,5/3/2010 0:00
"Crestridge Circle, 8600 blk - West of Balcones Club Dr",,,466,518,984,1/6/2003 0:00
"Crestridge Circle, 8800 blk - South of Balcones Club Dr",67,60,,,127,1/6/2003 0:00
"Crestway Dr, 4800 blk - North of Ridge Oak Dr",330,344,,,674,5/22/2006 0:00
"Crestway Dr, 4900 blk - East of Ridge Oak Dr",,,461,506,967,5/22/2006 0:00
"Crestway Dr, 4900 blk - West of Hancock Dr",,,466,434,900,1/30/2013 0:00
"Crestway Dr, 4900 blk - West of Hancock Dr",,,466,434,900,1/30/2013 0:00
"Crestwood Rd, 1200 blk - East of IH35 ESR",,,147,89,236,4/5/2004 0:00
"Crestwood Rd, 4300 blk - South of Airport Blvd",229,196,,,425,2/17/2010 0:00
"Crestwood Rd, 4300 blk - South of Airport Blvd",113,272,,,385,4/5/2004 0:00
"Cripple Creek, 1400 blk - South of Button Quail Cove",1043,1104,,,2147,12/5/2007 0:00
"Cripple Creek, 1500 blk - North of Button Quail Cove",681,758,,,1439,8/2/2007 0:00
"Croftwood Dr, 3700 blk - South of Eskew St",946,538,,,1484,4/21/2004 0:00
"Cross Park Dr, 8300 blk - East of Forbes St",,,6539,4930,11469,6/7/2010 0:00
"Cross Park Dr, 8300 blk - West of Chartre Dr",,,6427,4614,11041,6/3/2010 0:00
"Cross Valley Run, 4200 blk - West of Lonesome Valley Trl",,,1643,1168,2811,9/13/2010 0:00
"Cross Valley Run, 4400 blk - West of Small Dr",,,710,1012,1722,9/13/2010 0:00
"Crossland Dr, 11000 blk - East of Boulder Ln",,,231,241,472,9/16/2003 0:00
"Crown Dr, 1700 blk - East of Russell Dr",,,182,67,249,2/12/2008 0:00
"Crownspoint Dr, 2100 blk - East of Doliver Dr",,,1195,972,2167,4/1/2008 0:00
"Crownspoint Dr, 2500 blk - East of Heatherwood Dr",,,658,652,1310,9/19/2007 0:00
"Crownspoint Dr, 2500 blk - East of Heatherwood Dr",,,618,658,1276,2/14/2013 0:00
"Crownspoint Dr, 2800 blk - East of Canus Dr",,,455,576,1031,11/29/2007 0:00
"Cullen Ave, 1200 blk - West of Reese Ln",,,102,102,204,11/13/2007 0:00
"Cullen Ave, 1700 blk - West of Arroyo Seco",,,243,205,448,11/14/2007 0:00
"Cullen Avenue, 2100 blk - West of Hardy Dr",,,319,354,673,1/21/2014 0:00
"Cumberland Rd, 100 blk - West of South Congress Ave",,,1581,1438,3019,12/4/2007 0:00
"Cumberland Rd, 1000 blk - East of Raywood Dr",,,801,766,1567,12/11/2008 0:00
"Cumberland Rd, 1000 blk - West of South 5th St",,,989,970,1959,3/8/2005 0:00
"Cumberland Rd, 400 blk - West of Wilson St",,,1846,1804,3650,10/1/2007 0:00
"Cumberland Rd, 900 blk - East of South 5th St",,,1110,1108,2218,3/8/2005 0:00
"Cummings St, 700 blk - West of East Ave",,,302,211,513,2/9/2010 0:00
"Curlew Dr, 9100 blk - North of Wilcrest Dr",2193,2091,,,4284,9/19/2007 0:00
"Curlew Dr, 9700 blk - South of Monarch Dr",1231,1122,,,2353,2/14/2013 0:00
"Curve St, 1100 blk - South of Catalpa St",168,177,,,345,6/24/2008 0:00
"Cutting Horse Ln, 1500 blk - East of Dapplegrey Ln",,,407,565,972,5/9/2005 0:00
"Dahlgreen Ave, 10400 blk - South of LaCrosse Ave",1245,1366,,,2611,5/14/2001 0:00
"Dahlgreen Avenue, 10200 blk - North of Ballenton Lane",244,237,,,481,10/3/2012 0:00
"Daimondback Trail, 10100 blk - West of Brownie Dr",,,4222,2389,6611,3/5/2014 0:00
"Dale Dr, 1400 blk - East of Burrell Dr WB only",,,N/A,559,559,2/25/2010 0:00
"Daleview Dr, 8200 blk - South of Millway Dr",366,398,,,764,5/24/2010 0:00
"Daleview Dr, 8300 blk - North of Candlelight Ct",218,146,,,364,4/10/2007 0:00
"Daleview Dr, 8400 blk - North of Stanwood Dr",172,114,,,286,5/24/2010 0:00
"Dallas Dr, 7600 blk - East of Los Indios Trl",,,1519,1672,3191,9/24/2003 0:00
"Dallum Dr, 9500 blk - South of Northcape Dr",122,105,,,227,6/14/2010 0:00
"Dallum Dr, 9500 blk - South of Northcape Dr",141,106,,,247,1/29/2007 0:00
"Dallum Dr, 9500 blk - South of Northcape Dr",128,122,,,250,5/17/2004 0:00
"Dallum Dr, 9700 blk - North of Northcape Dr",262,267,,,529,6/14/2010 0:00
"Dallum Dr, 9700 blk - North of Northcape Dr",242,227,,,469,5/17/2004 0:00
"Dancy St, 2800 blk - South of E. 29th St",405,650,,,1055,1/30/2003 0:00
"Dancy St, 2900 blk - North of E. 29th St",344,500,,,844,9/29/2003 0:00
"Dancy St, 3100 blk - South of E. 32nd St",345,586,,,931,1/30/2003 0:00
"Danwood Dr, 7400 blk - South of D-K Ranch Rd",606,516,,,1122,11/19/2003 0:00
"Danwood Dr, 7500 blk - North of D-K Ranch Rd",593,681,,,1274,11/19/2003 0:00
"Danwood Dr, 7700 blk - South of Barrington Way",1113,728,,,1841,11/24/2003 0:00
"Dartmouth, 1700 blk - West of Woodrow Ave",,,134,109,243,11/14/2007 0:00
"Daugherty St, 7000 blk - South of Greenlawn Pkwy",262,259,,,521,1/23/2003 0:00
"Daughtery St, 7300 blk - South of Cascade Dr",185,179,,,364,2/19/2003 0:00
"Davis Lane, 4500 blk - At Copano Dr",5831,5661,,,11492,5/30/2013 0:00
"Davis Lane, 6300 blk - East of Lantana Way",,,2018,1927,3945,2/18/2014 0:00
"Davis Ln, 2100 blk - W. of Manchaca Rd",,,3802,3421,7223,3/28/2005 0:00
"Davis Ln, 2600 blk - East of Leo St",,,3572,3318,6890,3/28/2005 0:00
"Davis Ln, 3000 blk - East of West Gate Blvd",,,2678,2490,5168,4/11/2012 0:00
"Davis Ln, 3300 blk - East of Brodie Ln",,,3707,3539,7246,4/11/2012 0:00
"Davis Ln, 3400 blk - East of Brodie Ln",,,3615,3635,7250,3/28/2005 0:00
"Davis Ln, 3400 blk, East of Brodie Ln",,,3273,1709,4982,8/8/2011 0:00
"Davis Ln, 3700 blk - @ Fire Station",,,6020,6741,12761,3/31/2015 0:00
"Davis Ln, 4200 blk - West of Ampezo Trail",,,1291,1374,2665,5/21/2001 0:00
"Davis Ln, 4300 blk - West of Corran Ferry Dr",,,1613,1793,3406,2/10/2003 0:00
"Davis Ln, 4500 blk - @ Copano Dr",7180,6621,,,13801,3/10/2015 0:00
"Davis Ln, 4500 blk - South of Copano Dr",5831,5661,,,11492,5/30/2013 0:00
"Davis Ln, 4500 blk - West of Copano Dr",,,3105,3531,6636,8/30/2004 0:00
"Davis Ln, 4500 blk - West of Copano Dr",,,1545,1789,3334,2/10/2003 0:00
"Davis Ln, 4500 blk, West of Copano Dr",,,3935,5584,9519,11/1/2011 0:00
"Davis Ln, 4600 blk - East of Copano Dr",,,3112,3459,6571,8/30/2004 0:00
"Davis Ln, 4900 blk, East of Latta Dr",,,5018,6584,11602,11/1/2011 0:00
"Davis Ln, 5200 blk - East of La Cresada Dr",,,5537,6329,11866,10/14/2009 0:00
"Davis Ln, 5400 blk - West of Fulbright Ln",,,4433,5216,9649,10/14/2009 0:00
"Davis Ln, 5800 blk - West of Farrell Pl",,,3845,4307,8152,10/14/2009 0:00
"Davis Ln, 5900 blk - West of McGee Bend",,,3680,4164,7844,10/14/2009 0:00
"Davis Ln, 6500 blk - East of Clairemont Dr",,,1088,1083,2171,10/14/2009 0:00
"Davis Ln, 6600 blk - West of Clairemont Dr",,,685,846,1531,10/14/2009 0:00
"Davis Ln, 7700 blk - @ Latta Dr",7938,6964,,,14902,3/10/2015 0:00
"Davis St, 600 blk - East of Red River St",,,1162,328,1490,2/9/2010 0:00
"Dawson Rd, 600 blk - North of Post Oak St",1682,1205,,,2887,4/30/2008 0:00
"Dawson Rd, 900 blk - North of Ramona St",1626,1147,,,2773,4/30/2008 0:00
"Dean Keaton St East, 1000 blk - East of Red River St",,,10329,9906,20235,3/25/2009 0:00
"Dean Keaton St East, 1300 blk - East of Dancy St",,,3294,5161,8455,12/5/2002 0:00
"Dean Keaton St East, 200 blk - East of Speedway",,,10574,10034,20608,11/19/2003 0:00
